2026-06-26 11:27:43,674 | CRITICAL | 🚨 THREAT DETECTED | DANGEROUS PORT | Source: 10.0.0.99 | Attempt on Telnet port 23
2026-06-26 12:46:55,902 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,904 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:56,036 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:56,083 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,215 | INFO | ALLOW  | TCP   | 192.168.25.128:48872 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,269 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48872 | Rule: Default policy
2026-06-26 12:46:56,271 | INFO | ALLOW  | TCP   | 192.168.25.128:48872 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,273 | INFO | ALLOW  | TCP   | 192.168.25.128:48872 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,278 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48872 | Rule: Default policy
2026-06-26 12:46:56,363 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48872 | Rule: Default policy
2026-06-26 12:46:56,364 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,367 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,369 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:56,371 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:56,400 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48872 | Rule: Default policy
2026-06-26 12:46:56,402 | INFO | ALLOW  | TCP   | 192.168.25.128:48872 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,407 | INFO | ALLOW  | TCP   | 192.168.25.128:48872 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,408 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48872 | Rule: Default policy
2026-06-26 12:46:56,482 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,486 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:56,547 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,548 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,552 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,554 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:56,565 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:56,572 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:56,579 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,583 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:56,585 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,587 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:56,589 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,591 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:56,593 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,595 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:56,597 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,599 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:56,600 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:56,602 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
